Year,Total_Industrial_Production,Manufacturing,Energy_Supply,Water_Waste_Services,Intermediate_Goods,Capital_Goods,Consumer_NonDurables,Automotive_Manufacturing,Pharma_Manufacturing,Electricity_Gas_Steam
1997-01-01,81.8,64.2,85.1,116.4,74.5,47.3,75.3,59.9,84.9,85.1
1997-02-01,82.1,64.9,82.8,117.0,74.6,47.8,77.3,59.2,79.8,82.8
1997-03-01,80.9,64.2,78.5,117.8,74.0,48.3,74.3,59.9,77.9,78.5
1997-04-01,82.9,65.8,83.7,120.2,76.5,49.3,74.9,61.6,82.7,83.7
1997-05-01,82.6,65.4,86.2,118.9,75.1,49.1,75.7,60.9,82.3,86.2
1997-06-01,82.8,65.6,86.2,119.0,75.6,49.6,75.2,59.3,77.2,86.2
1997-07-01,84.5,66.9,88.2,119.6,77.0,50.6,76.4,62.0,81.5,88.2
1997-08-01,83.5,66.0,87.0,121.6,75.0,50.4,75.8,61.2,74.5,87.0
1997-09-01,84.0,66.6,86.6,120.5,75.8,50.8,75.8,60.8,81.1,86.6
1997-10-01,85.0,67.5,87.5,117.7,76.6,52.2,75.8,61.8,81.5,87.5
1997-11-01,85.1,68.0,86.2,116.5,76.9,52.5,76.4,62.8,75.9,86.2
1997-12-01,85.3,68.2,86.3,117.6,76.1,52.4,78.4,61.5,80.7,86.3
1998-01-01,85.3,68.1,82.9,121.8,77.7,52.2,76.6,61.8,75.8,82.9
1998-02-01,86.1,68.8,85.7,124.9,77.8,53.7,76.2,60.3,72.6,85.7
1998-03-01,86.7,69.3,87.0,124.7,77.6,54.9,76.2,63.3,84.7,87.0
1998-04-01,87.1,69.4,90.8,123.0,78.2,54.1,77.0,59.7,75.4,90.8
1998-05-01,86.4,69.1,86.0,122.2,76.8,54.4,77.3,60.4,73.8,86.0
1998-06-01,86.7,69.5,89.8,116.0,77.3,54.7,76.9,62.2,84.6,89.8
1998-07-01,86.4,69.6,90.6,114.3,76.7,55.6,76.2,61.5,81.7,90.6
1998-08-01,86.9,69.7,92.6,115.6,76.8,55.4,77.0,57.4,75.1,92.6
1998-09-01,87.2,69.9,94.4,112.9,77.5,55.4,77.3,56.9,84.6,94.4
1998-10-01,87.2,69.8,97.2,113.6,76.3,56.1,77.0,58.4,79.8,97.2
1998-11-01,87.4,69.8,100.6,114.3,76.6,55.6,77.4,55.4,83.1,100.6
1998-12-01,87.7,70.3,100.8,110.3,77.1,55.8,78.4,54.0,81.8,100.8
1999-01-01,89.0,71.4,103.4,109.6,79.1,58.0,76.6,54.7,73.3,103.4
1999-02-01,89.1,71.3,108.4,107.2,78.9,57.2,77.9,52.5,80.1,108.4
1999-03-01,90.0,72.1,109.7,106.2,81.0,57.1,78.4,51.4,96.1,109.7
1999-04-01,89.8,71.7,110.1,109.0,79.7,57.0,79.0,52.6,88.6,110.1
1999-05-01,90.7,72.6,110.7,109.1,81.1,57.8,79.0,54.2,85.1,110.7
1999-06-01,90.5,72.4,114.2,108.7,81.4,57.1,79.1,50.3,94.6,114.2
1999-07-01,91.4,73.0,112.8,110.0,81.7,57.8,80.2,51.3,91.0,112.8
1999-08-01,92.1,73.6,115.2,108.7,82.3,58.4,80.5,53.9,90.4,115.2
1999-09-01,92.6,74.5,110.0,110.2,83.4,59.0,81.8,55.4,96.0,110.0
1999-10-01,92.0,73.7,113.2,111.9,81.9,58.1,82.4,54.6,100.0,113.2
1999-11-01,92.7,74.5,108.5,113.4,83.0,58.5,83.0,55.8,104.8,108.5
1999-12-01,91.5,73.7,104.8,113.5,81.9,59.1,80.6,57.8,88.6,104.8
2000-01-01,92.3,74.6,100.8,114.5,82.3,59.3,82.6,55.8,94.4,100.8
2000-02-01,92.6,75.2,96.7,112.2,82.7,60.4,82.5,61.0,93.0,96.7
2000-03-01,92.3,75.4,93.1,109.2,82.9,61.8,80.8,63.3,90.3,93.1
2000-04-01,92.1,75.5,91.4,112.3,81.3,61.5,83.6,55.5,88.0,91.4
2000-05-01,92.4,75.9,90.6,114.7,81.6,62.8,82.5,61.2,96.0,90.6
2000-06-01,92.9,76.3,87.0,117.9,81.5,62.9,84.4,60.6,100.5,87.0
2000-07-01,92.3,75.8,87.4,117.4,82.3,62.6,82.3,58.6,84.0,87.4
2000-08-01,93.5,77.0,89.6,118.0,83.0,64.3,83.0,58.0,92.7,89.6
2000-09-01,93.2,76.8,92.1,117.6,82.1,64.1,83.4,57.7,93.3,92.1
2000-10-01,93.4,77.0,95.3,117.8,82.8,64.4,82.7,59.3,94.2,95.3
